ID,commity,detail,houseType,link,method,price,title
1,骏景华庭,"
                    房子靠近地铁3号线，诚信大道站地铁口，精装修家具家电齐全，实木地板，小区环境优美，交通便捷，请有意联系                ",4室1厅1卫                                ??18                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 次卧 - 男女不限,800,(单间出租)骏景华庭 精装修4室1厅1卫 男女不限 (个人)
2,世纪东山,"
                    ,??出租的房间是主卧，正南向，阳光充沛，男女不限,??整套房子是宽敞的大房间，家具家电齐全。低层住宅，亲近小区景观，享受更多自然乐趣！,??有,公交线路经过。,??周边设有丰富的配套设施，苏果超市，银行，医院，学校，娱乐场所一应俱全，充分满足你的生活所需！",4室2厅2卫                                ??26                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,850,(单间出租)江宁东山 世纪东山 押一付一 大主卧(个人)
3,骆村新寓,"
                    ,万达附近骆村新寓出租精装大卧室 地铁站：1,（1号线地铁站）,周边配套设施学校、医院、银行、公园、餐饮、娱乐、菜市场、超市、商场等设施齐全，靠地铁，生活方便。,1.5,公共区域有洗衣机、冰箱、微波炉、燃气热水器、燃气灶、油烟机、整套橱柜、浴霸等知名品牌家电 电信百兆光纤,24,18-40",3室2厅1卫                                ??25                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,998,(单间出租)万达附近 押一付一出租 骆村新寓 朝阳大卧室(个人)
4,竹山路,"
                    ,公交：719路、816路、827路、839路（江宁公安分局站）、829路（竹山南路东站）地铁：一号南延线竹山路站2口出,幼儿园：武夷小区幼儿园、金宝宝幼儿园,中小学：江宁实验小学、江宁东山小学、江宁百家湖小学、江宁*中学、南京师范大学附属中学江宁分校、江宁秦淮中学、江宁竹山中学、江宁科学园小学、江苏实验小学、东山外国语学校,大学：东南大学分校、河海大学分校、南京工程学院分校、江苏经贸职业*学院、金陵科技学院、南京晓庄学院分校、南京医科大学分校、中国药科大学分校,商场：金钥匙大厦、苏果超市上元路分店、南京华宁劳动保防护经营部、竹山路小商品、真维斯东山店,医院：江宁区医院、世纪现代*医院(南京)、金山路社区卫生服务站、岔路口卫生院、三九医院,邮局：胜太路邮局、东山镇邮局,银行：建设银行、南京商业银行、华夏银行、交通银行,其他：聆梦小筑、红萝卜酒楼、泊岸餐厅、百醉轩、潭渔轩、天香茶楼、天来香土菜馆、汪记贵州苗岭花江狗肉、福明家餐厅、万欣大酒店长江三鲜湖分店、康泰足疗、雅芳美容美体SPA休闲馆、良子足浴城、巨豪影视娱乐、腾泰快修美容服务中心,小区内部配套：洗衣房、咖啡吧、24小时便利店、桌球室、健身馆",3室1厅1卫                                ??20                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 次卧 - 男女不限,700,(单间出租)地铁1号线竹山路 月付押一付一3室1厅 次卧 朝东 精装修(个人)
5,舒心苑,"
                    ,中介的不要打我电话，只租给正常上下班的人，小区位置优越闹中取静，周边配套一应俱全，还有一条小吃街，吃喝玩乐什么都有，需要看房子的请提前半小时联系我，望爱干净，不吵闹有素质的租客入住！谢谢！",3室1厅1卫                                ??26                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1250,(单间出租)江宁江宁周边舒心苑 3室1厅 主卧 朝南 精装修(个人)
6,百家湖西花园巴黎城,"
                    ,百家湖商圈后面的精装小区，小区环境优美 周边生活配套设施齐备,房子是精装跃层，二楼只有一个房间，带一个大露台，有阳光房，个人使用不共用，住家装修，什么都有，厨房可做饭，可随时联系看房",4室2厅1卫                                ??35                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1500,(单间出租)江宁 百家湖西花园 精装跃层 拎包入住 可月付(个人)
7,宋艾新村2期,"
                    离双龙大道地铁站10分钟步行。因为工作调动，需要转租                ",2室1厅1卫                                ??20                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1200,(单间出租)宋艾新村2期 2室1厅1卫 男女不限 (个人)
8,珑湾花园一期,"
                    三号线诚信大道站 秣周东路方向，单间出租，主卧朝南，精装修，家电家具齐全，拎包即住！随时看房！                ",3室1厅1卫                                ??30                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1350,(单间出租) 珑湾花园 个人出租 三号线秣周东路(个人)
9,天祥家园,"
                    ",2室1厅1卫                                ??20                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,800,(单间出租)1号线附近天祥家园 2室1厅 主卧 朝南 精装修800(个人)
10,百家湖罗马成,"
                    地铁3号线零距离，有公交站！卧室带厨房，希望找到有缘人，赶紧来电吧！好房不等人                ",3室2厅2卫                                ??20                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1000,(单间出租)个人出租百家湖罗马成，独橱！男女不限！(个人)
11,文博苑,"
                    ,?文博园,公交：文鼎雅苑周边有安广线、江宁区内6路、19路 、819路。乘坐819路公交在文博路北站下车，走165米可到达文鼎雅苑。地铁：邻近地铁一号线南京交院站 。,幼儿园：示范园天园城幼儿园、金宝宝幼儿园,中小学：江宁*中学、江宁科学园小学、江苏实验小学、江宁竹山中学、东山外国语小学、天景山*中学,大学：东南大学分校、南京工程学院分校、江苏经贸职业*学院、南京晓庄学院分校、南京医科大学分校、中国药科大学分校、南京交通职业*学院、中国传媒大学南广学院、江苏海事职业*学院,商场：金宝市场、苏果超市、时代超市、联华超市、同曦商场,医院：江宁医院、同仁医院、方山医院天元城诊所,邮局：东山镇邮局、中国邮政储蓄江宁区方山邮政支局、百家湖邮局,银行：工商银行、交通银行、农业银行、中国银行,其他：金钥匙大厦、致远交通驾校、枫皇木园艺场、海轩阁酒楼、康泰足疗、雅芳美容美体SPA休闲馆、良子足浴城、巨豪影视娱乐,小区内部配套：社区管理服务中心、托老所、社区卫生服务站、文化活动站、体育活动站、公园、垃圾站、物管用房、配电用房",1室1厅1卫                                ??28                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,600,(单间出租)个人月付文博苑精装主卧大阳台有飘窗 南京交院(个人)
12,金轮第一城,"
                    房子干净整洁小区环境优美，小区物业尽责，周边有各大超市、饭馆适合居住交通便捷，位于胜太路、胜太西路地铁双地铁各几百米，出行几分钟即可。可做饭，家电家具齐全，现有主卧、北次、南次、厅隔出租价格750-1550元。爱干净人士优先！拎包即可入住可随时看房。                ",3室1厅1卫                                ??21                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1100,(单间出租)胜太路地铁、胜太西路地铁站金轮第一城朝南主卧个人(个人)
13,骏景华庭,"
                    ,??出租的房间是主卧，正南向，阳光充沛，男女不限,??整套房子是宽敞的大三居，家具家电齐全。中间楼层，光照、湿度和便利的完美平衡！,??有,公交线路经过。,??周边设有丰富的配套设施，兰州面王，好购超级市场,　好购平价超市，禄口小商品市场、人民商场(南京)、禄口商场(南京)，银行，医院，学校，娱乐场所一应俱全，充分满足你的生活所需！",3室2厅2卫                                ??24                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,950,(单间出租)三号线诚信大道地铁，九龙湖地铁 骏景华庭 精美单间押一付一(个人)
14,华意泰富,"
                    万达步行街附近，华意泰富个人房屋对外出租，交通便利。，环境优雅，交通便利， 精装修，木地板，家电齐全。房间价格次卧800元，主卧带空调带独立卫生间1450元                ",3室1厅1卫                                ??20                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 次卧 - 男女不限,800,(单间出租)万达附近华意泰富次卧800元(个人)
15,武夷绿洲观竹苑,"
                    ,房源在竹山路上的武夷绿洲观竹苑小区里，房子除了房租和水燃气等生活杂费外，不*取任何其他附加费用！,【交通出行】,地铁站：1,周边配套设施学校、医院、银行、公园、餐饮、娱乐、菜市场、超市、商场等设施齐全，靠地铁，生活方便。,【关于您家】,1.5,公共区域：公共区域有洗衣机、冰箱、微波炉、燃气热水器、燃气灶、油烟机、整套橱柜、浴霸等知名品牌家电,24,18-50,维修：设施坏了，一个电话即到，为您生活排忧解难；,保洁服务：双周保洁，维护干净整洁的居住环境",3室1厅1卫                                ??26                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1188,(单间出租)一号线竹山路 武夷绿洲 超大主卧 押一付一出租 整租可宿舍(个人)
16,万裕龙庭水岸(公寓),"
                    1.我是房主，个人房子 ，找一个文明爱干净卫生有责任心讲信誉的人居住交通很方便 离南京交院地铁口5分钟路程 公交站很近 附近超市也有很方便 小区环境优美恬静 
2.房间温馨舒适 、空调 、床、 办公桌倚 、衣柜 、洗衣机 、全天热水 、100M电信宽带?等设施
还有几间，欢迎需要的人来电咨询                ",4室2厅2卫                                ??25                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,450,(单间出租)交院地铁口万裕龙庭水岸 精装修 次卧(个人)
17,欧陆经典花园,"
                    三号线胜太西路附近，精装三室，两个女生，再来一个女生一起愉快的玩耍吧不是隔断，标准住宅，大客厅加大阳台，家用电器齐全                ",3室1厅1卫                                ??115                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 限女生,1200,(单间出租)欧陆经典花园整租三室两个女生再来一个(个人)
18,艺术家园,"
                    ",3室1厅2卫                                ??20                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,950,(单间出租)江宁开发区 地铁1号线 胜太路站 精装卧室出租(个人)
19,新城玖珑湖,"
                    ,3号诚信大道站旁 东南大学后，家电应有尽有，贴在房在，欢迎实地看房",3室1厅1卫                                ??20                                平??精装修 ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 主卧 - 男女不限,1100,(单间出租)殷巷3号 诚信大道站 新城玖珑湖 望湖月付 阳台 东大后(个人)
20,百家湖花园维也纳城,"
                    个人房源没有中介费，周边还有多套房源                ",1室1厅1卫                                ??15                                平?? ,http://nj.58.com/hezu/26454940520641x.shtml,合租 - 次卧 - 男女不限,850,(单间出租)3号线地铁口精装没有中介费(个人)
